??    1215.6701000 0.416400  6.265E8  1.00 Unidentified ion!! MUST BE HERE
FeI   3021.5190000 0.111000  2.000E8 55.847
FeI   2967.7650000 0.043800  2.000E8 55.847
FeI   2719.8330000 0.119000  2.000E8 55.847
FeI   2523.6080000 0.279000  2.000E8
FeI   2501.8860000 0.049600  2.000E8
FeI   2484.0210000 0.557000  2.000E8
FeI   2463.3920000 0.053200  2.000E8
FeI   2167.4530000 0.150000  2.000E8
FeII  2600.1722198 0.239000  2.000E8 55.847   1330.0 Updated to Morton's (1991)f values (MM)
FeII  2586.6493920 0.069100  2.000E8 55.847   1490.0 
FeII  2382.7641327 0.320000  2.000E8 55.847   1460.0
FeII  2374.4601546 0.031300  2.000E8 55.847   1590.0
FeII  2367.5895925 2.160e-5  2.000E8 55.847      0.00 Nussbaumer pettini Storey 1982
FeII  2344.2128172 0.114000  2.000E8 55.847   1210.0 Updated to Morton's (1991)f values (MM)
FeII  2260.7793621 0.002440  2.000E8 55.847   1435.0  
FeII  2249.8768000 0.001821  4.138E6 55.847   Howk00, f:ApJLett, Nov10, 1994
FeII  1901.7730000 1.009e-4  2.327E5 M91
FeII  1611.2002391 0.001380  2.000E8 55.847 1100.0 Entry added 14/5/99 - MM
FeII  1608.4506970 0.057700  2.000E8 55.847 -1300.0
FeII  1588.6876000 1.239e-4  4.092E5 M91
FeII  1260.5330000 0.025000  2.000E8
FeII  1144.9390000 0.106000  2.000E8
FeII  1143.2260000 0.017700  2.000E8
FeII  1142.3660000 0.004200  2.000E8
FeII  1133.6650000 0.005500  2.000E8
FeII  1127.0980000 0.003000  2.000E8
FeII  1125.4480000 0.016000  2.000E8
FeII  1121.9750000 0.020200  2.000E8
FeII  1112.0480000 0.006290  2.000E8  Howk 00
FeII  1106.3620000 0.001500  2.000E8
FeII  1096.8770000 0.032400  2.000E8
FeII  1083.4200000 0.004060  2.000E8
FeII  1081.8750000 0.014000  2.000E8
FeII  1063.9718000 0.003718  2.000E8
FeII  1063.1760000 0.060000  2.000E8
FeII  1062.1520000 0.003800  2.000E8
FeII  1055.2620000 0.007514  2.000E8
FeIII 1122.5260000 0.162000  2.000E8
CoII  2059.4710000 0.007100  1.668E7   58.93320 Mullman  M91:0.012970
CoII  2026.4070000 0.012100  9.828E7   Mullman (1.03*1552) M91:0.060500
