# Ion Label Mass   Omega         e(Omega)  X References                              lambda        e(lambda)  Ground                                   Upper                                            L    IP           f        q    dq   
MgI   2026  24.31  49346.772611  0.000036  1 ----                                    2026.4749792  0.0000015  3\rm{s}^2~^1\rm{S}_0                     3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm{o}}               a_1  ---\,,~7.65   0.113     87     7
----  2600  55.85  38458.991     0.002     0 AldeniusM_06a                           2600.17222    0.00014    ----                                     3\rm{d}^64\rm{p~z}^6\rm{D}_{9/2}^{\rm{o}}        j_8  ----          0.239    1410   60
----  ----  58     38458.965068  ----      3 PorsevS_09a                             2600.1739730  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     38458.977216  ----      3 PorsevS_09a                             2600.1731517  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
----  ----  56     38458.989798  ----      3 PorsevS_09a                             2600.1723011  ----       ----                                     ----                                             ---- ----         91.8     ----  ----
----  ----  54     38459.016359  ----      3 PorsevS_09a                             2600.1705053  ----       ----                                     ----                                             ---- ----          5.8     ----  ----
NiII  1709  58.69  58493.075     0.004     0 PickeringJ_00a                          1709.60409    0.00012    3\rm{d}^9~^2\rm{D}_{5/2}                 3\rm{d}^84\rm{p~z}^2\rm{F}_{5/2}^{\rm{o}}        k_1  7.64,~18.17   0.0324    -20  250
----  1741  58.69  57420.017     0.004     0 PickeringJ_00a                          1741.55295    0.00012    ----                                     3\rm{d}^84\rm{p~z}^2\rm{D}_{5/2}^{\rm{o}}        k_2  ----          0.0427  -1400  250
----  1751  58.69  57080.377     0.004     0 PickeringJ_00a                          1751.91555    0.00012    ----                                     3\rm{d}^84\rm{p~z}^2\rm{F}_{7/2}^{\rm{o}}        k_3  ----          0.0277   -700  250
ZnII  2026  65.41  49355.005     0.002     0 AldeniusM_06a                           2026.136964   0.000082   3\rm{d}^{10}4\rm{s}~^2\rm{S}_{1/2}       3\rm{d}^{10}4\rm{p}~^2\rm{P}_{3/2}^{\rm{o}}      l_1  9.39,~17.96   0.501    2470   25
----  ----  70     49355.0523    0.0021    2 MatsubaraK_03a                          2026.135024   0.000087   ----                                     ----                                             ---- ----          0.6     ----  ----
----  ----  68     49355.0333    0.0020    2 MatsubaraK_03a                          2026.135802   0.000083   ----                                     ----                                             ---- ----         18.8     ----  ----
----  ----  67     49355.1578    0.0064    3 DixitG_08a,MatsubaraK_03b               2026.13069    0.00026    F=2                                      F=1,2,3                                          ---- ----          1.7     ----  ----
----  ----  67     49354.9288    0.0029    3 DixitG_08a,MatsubaraK_03b               2026.14009    0.00012    F=3                                      F=2,3,4                                          ---- ----          2.4     ----  ----
----  ----  66     49355.0110    0.0020    2 MatsubaraK_03a                          2026.136719   0.000083   ----                                     ----                                             ---- ----         27.9     ----  ----
----  ----  64     49354.9884    0.0022    2 MatsubaraK_03a                          2026.137645   0.000090   ----                                     ----                                             ---- ----         48.6     ----  ----
----  2062  65.41  48481.081     0.002     0 AldeniusM_06a                           2062.660278   0.000085   ----                                     3\rm{d}^{10}4\rm{p}~^2\rm{P}_{1/2}^{\rm{o}}      l_2  ----          0.246    1560   25
----  ----  70     48481.1293    0.0054    3 BerengutJ_03a,MatsubaraK_03a            2062.65822    0.00023    ----                                     ----                                             ---- ----          0.6     ----  ----
----  ----  68     48481.1099    0.0039    3 BerengutJ_03a,MatsubaraK_03a            2062.65905    0.00017    ----                                     ----                                             ---- ----         18.8     ----  ----
----  ----  67     48481.2382    0.0095    3 BerengutJ_03a,DixitG_08a,MatsubaraK_03a 2062.65359    0.00040    F=2                                      F=2,3                                            ---- ----          1.7     ----  ----
----  ----  67     48481.0040    0.0038    3 BerengutJ_03a,DixitG_08a,MatsubaraK_03a 2062.66355    0.00016    F=3                                      F=2,3                                            ---- ----          2.4     ----  ----
----  ----  66     48481.0872    0.0026    3 BerengutJ_03a,MatsubaraK_03a            2062.66001    0.00011    ----                                     ----                                             ---- ----         27.9     ----  ----
----  ----  64     48481.0639    0.0030    3 BerengutJ_03a,MatsubaraK_03a            2062.66101    0.00013    ----                                     ----                                             ---- ----         48.6     ----  ----
# X: 0 -- Measured wavelength; 1 -- Inferred from component wavelengths; 2 -- Inferred from measured composite wavelength and measured component splitting; 3 -- Inferred from measured composite wavelength and calculated component splitting
